,Unnamed: 0,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
104,912486,1270995,7-eleven 37755A,Convenience Store,1105,NE 47th St, ,Seattle,WA,98105,4616,KING,47.66308,-122.3162,1/31/17,7523
106,912492,1347496,7-eleven 38365A,Convenience Store,4710,University Way NE, ,Seattle,WA,98105,4427,KING,47.66351,-122.313,1/28/19,7535
186,912683,954259,7-Eleven 2360-29078B  ,Convenience Store,101,NE 50th St, ,Seattle,WA,98105,4823,KING,47.66499,-122.328,6/18/10,7304
374,913147,759960,BARTELL DRUGS 11,Combination Grocery/Other,4344,University Way NE, ,Seattle,WA,98105,5809,KING,47.66047,-122.313,8/3/05,7765
381,913161,759984,BARTELL DRUGS 31,Combination Grocery/Other,2700,NE University Village St, ,Seattle,WA,98105,5016,KING,47.66339,-122.2975,8/4/05,7524
572,913578,1469215,Circle K Stores 2709649,Convenience Store,1013,NE 45th St, ,Seattle,WA,98105,4613,KING,47.66104,-122.317,8/30/21,7759
641,913704,1287886,CVS 10957,Combination Grocery/Other,4315,University Way NE, ,Seattle,WA,98105,5808,KING,47.66032,-122.3132,6/4/17,7930
889,914283,1288484,H MART UW  ,Combination Grocery/Other,4216,University Way NE, ,Seattle,WA,98105,5807,KING,47.65878,-122.3131,8/1/17,8086
1043,914598,1353374,Joy Mini Mart  ,Convenience Store,4747,University Way NE, ,Seattle,WA,98105,4412,KING,47.66442,-122.3131,4/25/19,7335
1285,915083,348836,Metropolitan Market 156,Super Store,5250,40th Ave NE, ,Seattle,WA,98105,3045,KING,47.66798,-122.2848,6/26/17,7044
1566,915708,1380517,Quick Bite Mini Mart  ,Convenience Store,4522,Brooklyn Ave NE,Bldg 105 Frnt,Seattle,WA,98105,4516,KING,47.66198,-122.3142,12/5/19,7761
1686,915984,284415,SAFEWAY 0488,Supermarket,3020,NE 45th St, ,Seattle,WA,98105,5002,KING,47.66126,-122.2934,10/17/75,7814
1858,916337,1074415,Stadium Market  ,Convenience Store,4359,Roosevelt Way NE, ,Seattle,WA,98105,4717,KING,47.66096,-122.3178,10/10/12,7757
1923,916508,1368799,Target Store T3286,Super Store,4535,University Way NE, ,Seattle,WA,98105,4510,KING,47.66233,-122.3131,6/20/19,7535
1968,916652,591042,TRADER JOES  137,Supermarket,4555,Roosevelt Way NE, ,Seattle,WA,98105,1736,KING,47.663,-122.3175,1/22/01,7519
1975,916666,1212229,Trinity Market & Deli  ,Small Grocery Store,4301,Roosevelt Way NE, ,Seattle,WA,98105,4717,KING,47.65955,-122.3178,9/9/15,7974
2008,916727,1113856,University Convenience Market  ,Convenience Store,5501,University Way Ne, ,Seattle,WA,98105,3520,KING,47.66865,-122.3131,10/28/13,7005
2009,916728,270050,University District Farmers Market  ,Farmers' Market,5031,University Way NE, ,Seattle,WA,98105,4341,KING,47.66632,-122.3131,6/7/94,7174
2073,916863,972714,Wallingford Shell  ,Convenience Store,210,NE 45th St, ,Seattle,WA,98105,6132,KING,47.66137,-122.327,11/2/10,7733
