,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
912281,1113223,123 Market  ,Medium Grocery Store,7144,Beacon Ave S, ,Seattle,WA,98108,3913,KING,47.53786,-122.2943,09/05/2013,07/13/2015
912282,707294,145TH STREET MARKET  ,Convenience Store,14415,Greenwood Ave N, ,Seattle,WA,98133,6814,KING,0.0,0.0,12/09/1993,11/30/1994
912283,344451,145TH STREET MARKET  ,Unknown,14415,Greenwood Ave N, ,Seattle,WA,98133,6814,KING,0.0,0.0,07/28/1999,03/14/2001
912284,311618,145TH STREET MARKIT  ,Convenience Store,14415,Greenwood Ave N, ,Seattle,WA,98133,6814,KING,0.0,0.0,01/05/1995,05/03/1999
912285,1040371,15th Street Shell  ,Convenience Store,5500,15th Ave NW, ,Seattle,WA,98107,5201,KING,47.6687,-122.3761,03/30/2012,09/26/2016
912286,742858,16TH AVENUE GROCERY  ,Convenience Store,9001,16th Ave SW, ,Seattle,WA,98106,2355,KING,47.52271,-122.3551,03/16/2005,05/22/2007
912287,820160,16TH AVENUE GROCERY  ,Convenience Store,9001,16th Ave SW, ,Seattle,WA,98106,2355,KING,47.52271,-122.3551,06/05/2007,02/12/2012
912288,820160,16TH AVENUE GROCERY  ,Convenience Store,9001,16th Ave SW, ,Seattle,WA,98106,2355,KING,47.52271,-122.3551,03/07/2012,03/05/2013
912289,1090291,16th Avenue Grocery Store  ,Convenience Store,9001,16th Ave Sw, ,Seattle,WA,98106,2355,KING,47.52271,-122.3551,04/09/2013,09/07/2014
912291,255414,1ST & UNION GROCERY  ,Convenience Store,1325,1st Ave, ,Seattle,WA,98101,2002,KING,47.60709,-122.3386,01/21/1993,06/05/2006
912292,727465,1ST DENNY MARKET  ,Convenience Store,2928,1st Ave, ,Seattle,WA,98121,1009,KING,0.0,0.0,02/07/1996,12/31/1999
912293,606353,1ST DENNY MARKET  ,Convenience Store,2928,1st Ave, ,Seattle,WA,98121,1009,KING,47.61721,-122.3529,12/15/2002,09/19/2007
912294,1131372,1st Hill Farmers Market  ,Farmers' Market,900,E Seneca St, ,Seattle,WA,98122,4212,KING,47.61221,-122.3197,01/21/2014, 
912295,1067587,2 Brothers  ,Convenience Store,5501,Roosevelt Way NE, ,Seattle,WA,98105,3630,KING,47.66858,-122.3175,09/12/2012,03/18/2013
912296,1404237,"206 Mini Mart, Llc 1",Small Grocery Store,8738,Rainier Ave S,,Seattle,WA,98118,4927,KING,47.52419,-122.27,05/22/2020, 
912300,1289936,24/7 Convenience Store 1,Convenience Store,11853,Glendale Way S, ,Seattle,WA,98168,1246,KING,47.49618,-122.3109,07/10/2017, 
912301,1042094,24/7 Convine Store  ,Convenience Store,11853,Glendale Way S, ,Seattle,WA,98168,1246,KING,47.49622,-122.311,02/22/2012,06/27/2017
912302,1191143,24/7 Grocery  ,Convenience Store,11046,1st Ave S, ,Seattle,WA,98168,1402,KING,47.50431,-122.3336,04/21/2015,08/25/2015
912303,1209692,24/7 Grocery  ,Convenience Store,11046,1st Ave S,,Seattle,WA,98168,1402,KING,47.50385,-122.3333,09/03/2015, 
912304,935882,25th Market  ,Convenience Store,7500,25th Ave NE, ,Seattle,WA,98115, ,KING,47.68329,-122.3008,09/20/2010,04/13/2015
912305,1475388,2801 Market Place  ,Convenience Store,2801,S Graham St,,Seattle,WA,98108,3127,KING,47.54609,-122.2967,10/18/2021, 
912306,1116789,2nd Ave Grocery  ,Convenience Store,2237,2nd Ave, ,Seattle,WA,98121,2016,KING,47.61351,-122.3449,10/22/2013, 
912307,625876,2ND AVE GROCERY & DELI  ,Convenience Store,1420,2nd Ave, ,Seattle,WA,98101,2008,KING,0.0,0.0,06/18/1987,06/06/1990
912315,371479,45TH STREET MINI MART  ,Convenience Store,258,NE 45th St, ,Seattle,WA,98105,6148,KING,0.0,0.0,06/19/1987,08/26/1997
912318,1225581,4th Avegrocery Outlet  ,Supermarket,1702,4th Ave S, ,Seattle,WA,98134,1502,KING,47.588,-122.329,11/30/2015,10/09/2017
912319,935724,4th avenue Grocery outlet 163,Super Store,1702,4th Ave S, ,Seattle,WA,98134,1502,KING,47.588,-122.329,02/02/2010,03/31/2014
912320,1136810,4th Avenue Grocery Outlet  ,Supermarket,1702,4th Ave S, ,Seattle,WA,98134,1502,KING,47.588,-122.329,04/01/2014,03/01/2016
912321,448713,4TH AVENUE MARKET  ,Convenience Store,216,4th Ave S, ,Seattle,WA,98104,2609,KING,47.60037,-122.329,05/27/2004,10/04/2005
912322,956121,5 corners mini mart 0,Convenience Store,309,W McGraw St, ,Seattle,WA,98119,2649,KING,47.63953,-122.3613,08/09/2010,12/29/2013
912325,380953,5 STAR MINIMART  ,Convenience Store,600,24th Ave S, ,Seattle,WA,98144,2320,KING,0.0,0.0,02/01/1994,09/22/1996
912326,644812,50-50 FOOD MARKET  ,Convenience Store,5901,California Ave SW, ,Seattle,WA,98136,1611,KING,0.0,0.0,06/08/1987,01/19/1994
912327,375127,50-50 GROCERY  ,Convenience Store,5901,California Ave SW, ,Seattle,WA,98136,1611,KING,0.0,0.0,01/20/1994,07/11/2001
912328,316077,50-50 GROCERY  ,Convenience Store,5901,California Ave SW, ,Seattle,WA,98136,1611,KING,47.55014,-122.3872,06/30/2003,08/08/2006
912330,324140,50TH ST DELI MARKET  ,Convenience Store,2508,N 50th St, ,Seattle,WA,98103,6920,KING,0.0,0.0,03/01/1994,06/09/1996
912331,825952,50th St Market  ,Convenience Store,2508,N 50th St, ,Seattle,WA,98103,6920,KING,47.66505,-122.3285,08/07/2007,08/24/2009
912332,484058,50TH STREET DELI MARKET  ,Convenience Store,2508,N 50th St, ,Seattle,WA,98103,6920,KING,0.0,0.0,04/11/1968,02/10/1994
912333,712583,50TH STREET MARKET & DELI  ,Convenience Store,2508,N 50th St, ,Seattle,WA,98103,6920,KING,47.66505,-122.3285,06/05/1998,02/29/2000
912334,712583,50TH STREET MARKET & DELI  ,Convenience Store,2508,N 50th St, ,Seattle,WA,98103,6920,KING,47.66505,-122.3285,06/21/2000,07/23/2007
912335,982832,56th Street Market  ,Convenience Store,2201,N 56th St, ,Seattle,WA,98103,6203,KING,47.66876,-122.3324,01/18/2011, 
912336,861736,5M Mini Mart  ,Convenience Store,3405,4th Ave S, ,Seattle,WA,98134,1904,KING,47.57368,-122.3291,09/25/2008,06/10/2012
912343,785787,7 ELEVEN 26055B,Convenience Store,300,N 125th St, ,Seattle,WA,98133,8124,KING,47.71965,-122.3555,04/24/2006, 
912346,1097924,7 Eleven 35541A,Convenience Store,627,1st Avenue South, ,Seattle,WA,98104, ,KING,47.59644,-122.3343,05/22/2013,08/30/2016
912347,1282757,7 Eleven 36683J,Convenience Store,1524,3rd Ave, ,Seattle,WA,98101,1612,KING,47.61045,-122.3384,05/10/2017,11/29/2017
912348,1341248,7 Eleven 35532J,Convenience Store,819,Virginia St,Ste C1,Seattle,WA,98101,4433,KING,47.61612,-122.336,09/24/2018,02/12/2019
912352,1425788,7 Eleven #23931f  ,Convenience Store,11657,Des Moines Memorial Dr S,,Seattle,WA,98168,1227,KING,47.49818,-122.3088,12/09/2020, 
912353,540190,7 STAR MINI MART  ,Convenience Store,1917,S Jackson St, ,Seattle,WA,98144,2224,KING,47.59919,-122.3074,07/23/2004,05/30/2011
912358,226014,7-ELEVEN 24497C,Convenience Store,2009,Rainier Ave S, ,Seattle,WA,98144,4607,KING,47.58514,-122.3034,11/01/1983, 
912359,248003,7-ELEVEN 22561 A,Convenience Store,3280,SW Avalon Way, ,Seattle,WA,98126,2607,KING,47.56413,-122.3755,06/20/1985,05/26/2010
912360,704483,7-ELEVEN 23020 D,Convenience Store,1522,E Madison St, ,Seattle,WA,98122,4014,KING,47.61486,-122.312,01/21/1987, 
912362,294004,7-ELEVEN 26544,Convenience Store,304,N 36th St, ,Seattle,WA,98103,8632,KING,47.65253,-122.3555,06/09/1987,10/31/2007
912363,544351,7-ELEVEN 23525 D,Convenience Store,12848,Martin Luther King Jr Way, ,Seattle,WA,98178,3512,KING,47.48766,-122.2585,12/22/1987,10/14/2012
912364,250819,7-ELEVEN 14438 G,Convenience Store,11065,8th Ave S, ,Seattle,WA,98168,1507,KING,47.5033,-122.3232,02/02/1988, 
912372,424001,7-ELEVEN 25525 D,Convenience Store,1550,NW Market St, ,Seattle,WA,98107,5211,KING,47.66873,-122.3776,05/14/1997, 
912373,634907,7-ELEVEN 14470 A,Convenience Store,1600,SW Holden St, ,Seattle,WA,98106,1879,KING,47.53373,-122.3553,08/13/1997,05/05/2014
912376,594866,7-Eleven 16022D,Convenience Store,5900,Phinney Ave N, ,Seattle,WA,98103,5834,KING,47.67196,-122.3544,01/05/1999,07/11/2001
912377,708677,7-ELEVEN 19042 F,Convenience Store,7314,Aurora Ave N, ,Seattle,WA,98103,5357,KING,47.68237,-122.3444,05/25/1999,07/10/2017
912378,445896,7-Eleven 26842D,Convenience Store,3227,NE 145th St, ,Seattle,WA,98155,7504,KING,47.7337,-122.2934,12/28/1999,02/03/2010
912379,295719,7-ELEVEN 14360 A,Convenience Store,3200,NW 54th St,,Seattle,WA,98107,3308,KING,47.66779,-122.3987,01/20/2000,02/03/2010
912382,630117,7-ELEVEN 16545 F,Convenience Store,103,15th Ave E, ,Seattle,WA,98112,5209,KING,47.61867,-122.3128,11/21/2000, 
912385,710246,7-Eleven 23109D,Convenience Store,362,Denny Way, ,Seattle,WA,98109,4912,KING,47.61862,-122.3493,05/09/2001, 
912387,598783,7-Eleven 32945B,Convenience Store,999,Leary Way NW,,Seattle,WA,98107,4614,KING,47.66317,-122.3701,03/27/2002,11/08/2021
912389,620280,7-ELEVEN 14463 E,Convenience Store,9041,Delridge Way SW, ,Seattle,WA,98106,2335,KING,47.52248,-122.3598,07/03/2003, 
912390,414509,7-ELEVEN 27901 E,Convenience Store,2100,N Northgate Way, ,Seattle,WA,98133,9017,KING,47.70871,-122.334,07/11/2003,12/20/2012
912400,771362,7-ELEVEN 14396C,Convenience Store,7215,Sand Point Way NE, ,Seattle,WA,98115,6323,KING,47.68134,-122.2637,11/23/2005,06/20/2016
912402,773420,7-ELEVEN 14436E,Convenience Store,4312,SW Admiral Way, ,Seattle,WA,98116,2423,KING,47.58125,-122.3867,11/29/2005, 
912403,773424,7-ELEVEN 26939C,Convenience Store,2429,Harbor Ave SW, ,Seattle,WA,98126,2133,KING,47.58148,-122.373,11/29/2005, 
912407,783269,7-ELEVEN 19036L,Convenience Store,1518,W Dravus St, ,Seattle,WA,98119,1719,KING,47.64849,-122.377,04/03/2006,03/22/2009
912408,787200,7-ELEVEN 23931D,Convenience Store,11657,Des Moines Memorial Dr, ,Seattle,WA,98168,1227,KING,47.49818,-122.3084,05/12/2006,09/12/2006
